"Name","Category","Price"
"火腿炒蛋芝士脆皮三文治","meal","60"
"秘制港式焗豬扒飯","meal","90"
"港式街頭小食格仔餅 (伴牛油、煉奶、花生醬)","meal","45"
"午餐肉煎蛋麻油出前一丁","meal","70"
"瑤柱螺片海鮮粥","meal","50"
"冬菇雞肉粥","meal","50"
"雞肉蝦乾荷香飯","meal","75"
"椰香黃咖哩雞肉飯🌶️","meal","75"
"忌廉蘑菇湯","drink","40"
"泰式打拋素肉飯🌶️","meal","75"
"出前一丁杯面(豬骨濃湯味)","meal","35"
"農心辛辣杯面","meal","35"
"日清合味道杯面(海鮮味)","meal","35"
"卡樂B BBQ味粟一燒","snacks","20"
"固力果沙律百力滋餅乾條","snacks","30"
"易極強勁薄荷糖","snacks","30"
"Haribo 哈瑞寶金熊橡皮糖","snacks","25"
"M&M's 牛奶朱古力","snacks","25"
"能得利黑加侖軟糖","snacks","20"
"金龜嘜魷魚絲","snacks","25"
"大洋牌魚肉腸","snacks","35"
"品客薯片（原味/香蔥酸忌廉味）","snacks","25"
"童星點心麵雞肉味","snacks","20"
"怡寶純淨水 (沒有折扣)","other","15"
"伊藤園綠茶","drink","30"
"津露烏龍茶","drink","30"
"檸檬片加冰 (Add-On)","other","5"
"酷兒蘋果汁飲品","drink","20"
"太興港式奶茶","drink","25"
"利賓納黑加侖子汁","drink","30"
"維他檸檬茶","drink","20"
"可口可樂","drink","25"
"無糖零卡可樂","drink","25"
"雪碧","drink","25"
"華元堂涼茶","drink","20"
"華元堂唧唧龜苓膏","drink","20"
"Lavazza即沖咖啡","drink","45"
"東海好茶普洱熟茶","drink","30"
"新鮮熱檸茶／水","drink","30"
"薄荷茶","drink","30"
"洋甘菊茶","drink","30"
"嘉士伯啤酒","drink","40"
"青島啤酒","drink","40"
"DF001 GBA 1:200 737-800 飛機模型","gba","650"
"DF002 GBA 1:200 737-9 飛機模型","gba","650"
"DF003 GBA 毛毯","gba","120"
"DF004 GBA 飛機毛絨公仔","gba","120"
"DF005 東海好茶 普洱生茶 (8克 × 7)","duty-free","110"
"DF006 東海好茶 普洱熟茶 (8克 × 25)","duty-free","190"
"DF007 東海好茶 普洱生茶 75配方 (100克)","duty-free","230"
"DF008 Bottega Gold Prosecco Gold 75cl","duty-free","225"
"DF009 CHIVAS REGAL12年蘇格蘭威士忌 1L","duty-free","325"
"DF010 MENGZHILAN洋河夢之藍水晶版52度 500cl","duty-free","500"
"DF011 HILX UNFOLD太陽眼鏡 (碳纖黑框 配 銀色鏡片)","duty-free","890"
"DF012 HILX UNFOLD太陽眼鏡 (啞光灰框 配 綠色鏡片)","duty-free","890"
"DF013 HILX UNFOLD太陽眼鏡 (磨砂白框 配 藍色鏡片)","duty-free","890"
"DF014 Twinkle Twinkle小玩意足金串飾手繩系列 - Q版小房子","emperor","1605"
"DF015 Le Petit Prince®《小王子》與玫瑰花足金串飾","emperor","2300"
"DF016 Le Petit Prince®《小王子》系列 星星圖案18K玫瑰色黃金鑽石耳環 (單件)","emperor","2900"
"DF017 Le Petit Prince®《小王子》與「B612號小行星」足金串飾手繩","emperor","3400"
"DF018 Connecty Jellyfish 磁吸藍牙喇叭","duty-free","280"
"DF019 Connecty QuadLink 4合1充電線","duty-free","110"
"DF020 Dretec 迷你旅行電鬍刀","duty-free","240"
"DF021 Dretec 手提電子秤 (附有拉尺)","duty-free","170"
"DF022 Vinnic Smoky Dome 五合一藍牙喇叭無線充電座","duty-free","350"
"DF023 Vinnic x Smile Studio 30W快充旅行插頭 - 雞蛋仔","duty-free","300"
"DF024 Vinnic x Smile Studio 30W快充旅行插頭 - 懶洋洋","duty-free","300"
"DF025 Vinnic 60W USB-C to USB-C L型快充線 (2M) | 電競手遊/追劇專用","duty-free","100"
"DF026 K BOOSTER 保濕鎮定噴霧","duty-free","155"
"DF027 K BOOSTER 肌膚修護精華","duty-free","555"
"DF028 K BOOSTER 防曬精華","duty-free","300"
"DF037 (贈品) KBOOSTER 強效激活三部曲體驗裝","other","0"
"DF029 Meditherapy V臉塑顏面膜 (1盒5片)","duty-free","155"
"DF030 Meditherapy V臉緊緻按摩乳霜+美容儀套裝","duty-free","365"
"DF031 Meditherapy PDRN修護精華+美容儀套裝","duty-free","500"
"DF032 iSecret 2合1家居寵物防蚤/防牛蜱/抗菌草本噴霧","special","95"
"DF033 iSecret iPooPoo保持形象抗念珠菌清新噴霧","special","95"
"DF034 iSecret 濕疹舒緩草本套裝","special","255"
"DF035 AIRSIM 可重複使用無國界上網卡","special","80"
"DF036 Margaret Dabbs 專業極致美甲旅行兩件組","special","150"
"Extra Legroom","seats","260"
"Upfront Seat","seats","150"
"Premium Class Upgrade","seats","500"
